NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameTeam
1626157,Karl-Anthony Towns,MIN,23.0,1.0,1.0,0.0,37.0,27.0,10.0,23.0,43.5,3.0,8.0,37.5,4.0,6.0,66.7,9.0,18.0,27.0,3.0,3.0,2.0,4.0,4.0,78.9,1.0,0.0,7.0,1,1,0,0,0,2,0,0,77.25,Karl-Anthony TownsMIN
201933,Blake Griffin,DET,29.0,1.0,1.0,0.0,40.0,44.0,13.0,23.0,56.5,5.0,13.0,38.5,13.0,14.0,92.9,0.0,8.0,8.0,5.0,4.0,3.0,1.0,4.0,69.1,0.0,0.0,11.0,1,0,0,0,0,1,0,0,70.0,Blake GriffinDET
1628378,Donovan Mitchell,UTA,22.0,1.0,1.0,0.0,38.0,34.0,11.0,24.0,45.8,4.0,13.0,30.8,8.0,10.0,80.0,0.0,6.0,6.0,6.0,2.0,0.0,2.0,2.0,54.2,0.0,0.0,20.0,1,0,0,0,0,1,0,0,55.5,Donovan MitchellUTA
203083,Andre Drummond,DET,25.0,1.0,1.0,0.0,42.0,20.0,8.0,13.0,61.5,0.0,1.0,0.0,4.0,5.0,80.0,9.0,12.0,21.0,0.0,3.0,3.0,1.0,3.0,54.2,1.0,0.0,18.0,1,1,0,0,0,2,0,0,52.75,Andre DrummondDET
203076,Anthony Davis,NOP,25.0,1.0,0.0,1.0,36.0,30.0,10.0,22.0,45.5,2.0,5.0,40.0,8.0,9.0,88.9,4.0,10.0,14.0,2.0,3.0,0.0,1.0,5.0,49.8,1.0,0.0,1.0,1,1,0,0,0,2,0,0,52.0,Anthony DavisNOP
1626162,Kelly Oubre Jr.,PHX,23.0,1.0,1.0,0.0,30.0,26.0,9.0,17.0,52.9,4.0,7.0,57.1,4.0,6.0,66.7,3.0,8.0,11.0,3.0,3.0,2.0,1.0,1.0,49.7,1.0,0.0,9.0,1,1,0,0,0,2,0,0,50.75,Kelly Oubre Jr.PHX
203497,Rudy Gobert,UTA,26.0,1.0,1.0,0.0,40.0,15.0,5.0,6.0,83.3,0.0,0.0,0.0,5.0,9.0,55.6,5.0,11.0,16.0,8.0,5.0,1.0,2.0,5.0,50.2,1.0,0.0,19.0,1,1,0,0,0,2,0,0,50.5,Rudy GobertUTA
1626149,Montrezl Harrell,LAC,24.0,1.0,0.0,1.0,34.0,21.0,8.0,14.0,57.1,0.0,0.0,0.0,5.0,6.0,83.3,3.0,6.0,9.0,6.0,2.0,1.0,4.0,4.0,53.8,0.0,0.0,-1,1,0,0,0,0,1,0,0,50.25,Montrezl HarrellLAC
201566,Russell Westbrook,OKC,30.0,1.0,1.0,0.0,33.0,24.0,9.0,24.0,37.5,1.0,2.0,50.0,5.0,5.0,100.0,2.0,8.0,10.0,7.0,4.0,2.0,0.0,4.0,48.5,1.0,0.0,7.0,1,1,0,0,0,2,0,0,49.5,Russell WestbrookOKC
202681,Kyrie Irving,BOS,26.0,1.0,0.0,1.0,33.0,25.0,7.0,16.0,43.8,0.0,5.0,0.0,11.0,13.0,84.6,0.0,5.0,5.0,6.0,1.0,2.0,1.0,0.0,48.0,0.0,0.0,13.0,1,0,0,0,0,1,0,0,45.75,Kyrie IrvingBOS
